"","Country","Year","Gdp","Gdp_units","Population","Population_units","Total_investment","
                                            Total_invest_units","Gdp_per_cap","Groups","Average_temp","Average_temp_unct","Cereal_yield","CO2_emissions","climate_zone","economic_status","development_status","co2_category","population_category"
"1","Afghanistan",1990,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,202,14.9933333333333,0.362416666666667,1200.6,0.14,"Temperate","Low-income","Developing","Low emissions","Small population"
"2","Afghanistan",1991,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,203,14.37075,0.411,1160,0.13,"Temperate","Low-income","Developing","Low emissions","Small population"
"3","Afghanistan",1992,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,204,14.0560833333333,0.501666666666667,1097.7,0.07,"Temperate","Low-income","Developing","Low emissions","Small population"
"4","Afghanistan",1993,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,205,14.43925,0.53925,1135.5,0.07,"Temperate","Low-income","Developing","Low emissions","Small population"
"5","Afghanistan",1994,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,206,14.75475,0.396833333333333,1140.3,0.06,"Temperate","Low-income","Developing","Low emissions","Small population"
"6","Afghanistan",1995,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,207,14.8591666666667,0.43475,1219.6,0.06,"Temperate","Low-income","Developing","Low emissions","Small population"
"7","Afghanistan",1996,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,208,14.426,0.376666666666667,1203.7,0.05,"Temperate","Low-income","Developing","Low emissions","Small population"
"8","Afghanistan",1997,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,209,14.904,0.534083333333333,1349.3,0.05,"Temperate","Low-income","Developing","Low emissions","Small population"
"9","Afghanistan",1998,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,210,15.1325,0.471416666666667,1389.1,0.04,"Temperate","Low-income","Developing","Low emissions","Small population"
"10","Afghanistan",1999,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,211,15.38875,0.489666666666667,1286,0.03,"Temperate","Low-income","Developing","Low emissions","Small population"
"11","Afghanistan",2000,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,212,15.4978333333333,0.500666666666667,806.3,0.03,"Temperate","Low-income","Developing","Low emissions","Small population"
"12","Afghanistan",2001,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)",NA,"Percent of GDP",NA,213,15.7780833333333,0.539083333333333,1006.6,0.02,"Temperate","Low-income","Developing","Low emissions","Small population"
"13","Afghanistan",2002,4.367,"U.S. dollars  (Billions)",18707,"Persons  (Millions)","27.243","Percent of GDP",0.233442027048698,214,15.5376666666667,0.445166666666667,1669.7,0.01,"Temperate","Low-income","Developing","Low emissions","Large population"
"14","Afghanistan",2003,4.553,"U.S. dollars  (Billions)",19477,"Persons  (Millions)","30.102","Percent of GDP",0.233762899830569,215,14.916,0.456666666666667,1458,0.02,"Temperate","Low-income","Developing","Low emissions","Large population"
"15","Afghanistan",2004,5.146,"U.S. dollars  (Billions)",20237,"Persons  (Millions)","35.354","Percent of GDP",0.254286702574492,216,15.7709166666667,0.4825,1334.8,0.02,"Temperate","Low-income","Developing","Low emissions","Large population"
"16","Afghanistan",2005,6.167,"U.S. dollars  (Billions)",20947,"Persons  (Millions)","37.048","Percent of GDP",0.294409700673127,217,14.98,0.528416666666667,1790.4,0.02,"Temperate","Low-income","Developing","Low emissions","Large population"
"17","Afghanistan",2006,6.925,"U.S. dollars  (Billions)",21596,"Persons  (Millions)","29.489","Percent of GDP",0.320661233561771,218,15.5955833333333,0.48825,1551.6,0.02,"Temperate","Low-income","Developing","Low emissions","Large population"
"18","Afghanistan",2007,8.556,"U.S. dollars  (Billions)",22426,"Persons  (Millions)","55.852","Percent of GDP",0.381521448318916,219,15.1061666666667,0.396083333333333,1913.5,0.02,"Temperate","Low-income","Developing","Low emissions","Large population"
"19","Afghanistan",2008,10.297,"U.S. dollars  (Billions)",22997,"Persons  (Millions)","30.222","Percent of GDP",0.447754054876723,220,15.2165,0.517333333333333,1418.1,0.03,"Temperate","Lower-middle-income","Developing","Low emissions","Large population"
"20","Afghanistan",2009,12.066,"U.S. dollars  (Billions)",23596,"Persons  (Millions)","36.503","Percent of GDP",0.511357857263943,221,15.25775,0.346166666666667,2031.3,NA,"Temperate","Lower-middle-income","Developing","Low emissions","Large population"
